/data/yuzhuo.wang/SSD/data/aic_heads/train_imgs/012117b8bb4b3ddb313c9a1d011f487e72bbe4bd.jpg,534,105,631,244,head
/data/yuzhuo.wang/SSD/data/aic_heads/train_imgs/0036f15ff281d91bcd0057de89dfcac09758869f.jpg,211,56,263,127,head
/data/yuzhuo.wang/SSD/data/aic_heads/train_imgs/00f99fa2f807c0c887c329b726b612927a08afb8.jpg,386,74,490,232,head
/data/yuzhuo.wang/SSD/data/aic_heads/train_imgs/00c2da54befa7b138b77cdbfc27a93fe95976710.jpg,99,469,160,557,head
/data/yuzhuo.wang/SSD/data/aic_heads/train_imgs/00c2da54befa7b138b77cdbfc27a93fe95976710.jpg,142,310,213,381,head
/data/yuzhuo.wang/SSD/data/aic_heads/train_imgs/00ddf7dec46f8900314b9b6e208dd5352bea1963.jpg,464,103,542,218,head
/data/yuzhuo.wang/SSD/data/aic_heads/train_imgs/00ddf7dec46f8900314b9b6e208dd5352bea1963.jpg,249,4,345,114,head
/data/yuzhuo.wang/SSD/data/aic_heads/train_imgs/008f9f95ef3b1b43b46736b33c1c257f4c689eb2.jpg,148,260,218,355,head
/data/yuzhuo.wang/SSD/data/aic_heads/train_imgs/00494634e3f5242ae3fa613061be89123d08ff28.jpg,424,287,485,372,head
/data/yuzhuo.wang/SSD/data/aic_heads/train_imgs/00494634e3f5242ae3fa613061be89123d08ff28.jpg,290,186,377,290,head
/data/yuzhuo.wang/SSD/data/aic_heads/train_imgs/00eaf3e26da2cfea4791e4da1ecbbf2fe42e0d88.jpg,243,54,315,157,head
/data/yuzhuo.wang/SSD/data/aic_heads/train_imgs/00eaf3e26da2cfea4791e4da1ecbbf2fe42e0d88.jpg,129,35,179,106,head
/data/yuzhuo.wang/SSD/data/aic_heads/train_imgs/00eaf3e26da2cfea4791e4da1ecbbf2fe42e0d88.jpg,0,40,47,110,head
/data/yuzhuo.wang/SSD/data/aic_heads/train_imgs/00243fef68091bcae24571a405a4324d54debb40.jpg,236,10,303,115,head
/data/yuzhuo.wang/SSD/data/aic_heads/train_imgs/008a50c2ea49b8fc626c7c39c8c21ff30971922c.jpg,547,128,641,259,head
/data/yuzhuo.wang/SSD/data/aic_heads/train_imgs/008a50c2ea49b8fc626c7c39c8c21ff30971922c.jpg,213,144,311,275,head
/data/yuzhuo.wang/SSD/data/aic_heads/train_imgs/00dc6dbfdc843728944ca6c11b8c5b67878b625d.jpg,283,114,369,241,head
/data/yuzhuo.wang/SSD/data/aic_heads/train_imgs/0016a6d603ea5d8359b24c31c0ac9da0dc78845e.jpg,300,132,395,262,head
