/data/yuzhuo.wang/SSD/data/crowd_human/Images/273278,cebda0009f827412.jpg,0,26,628,1209,person
/data/yuzhuo.wang/SSD/data/crowd_human/Images/273278,cebda0009f827412.jpg,492,86,821,1148,person
/data/yuzhuo.wang/SSD/data/crowd_human/Images/273278,cebda0009f827412.jpg,709,145,978,1204,person
/data/yuzhuo.wang/SSD/data/crowd_human/Images/273278,cebda0009f827412.jpg,748,154,1242,1209,person
/data/yuzhuo.wang/SSD/data/crowd_human/Images/273278,cebda0009f827412.jpg,1260,152,1503,1085,person
/data/yuzhuo.wang/SSD/data/crowd_human/Images/273278,cebda0009f827412.jpg,1143,157,1919,1209,person
/data/yuzhuo.wang/SSD/data/crowd_human/Images/283081,1f9a5000a211139f.jpg,61,153,292,425,person
/data/yuzhuo.wang/SSD/data/crowd_human/Images/283081,1f9a5000a211139f.jpg,79,86,261,298,person
/data/yuzhuo.wang/SSD/data/crowd_human/Images/283081,1f9a5000a211139f.jpg,220,56,303,297,person
/data/yuzhuo.wang/SSD/data/crowd_human/Images/283081,1f9a5000a211139f.jpg,233,233,366,426,person
/data/yuzhuo.wang/SSD/data/crowd_human/Images/283081,1f9a5000a211139f.jpg,260,103,404,426,person
/data/yuzhuo.wang/SSD/data/crowd_human/Images/283081,1f9a5000a211139f.jpg,347,76,464,426,person
/data/yuzhuo.wang/SSD/data/crowd_human/Images/283081,1f9a5000a211139f.jpg,374,173,533,426,person
/data/yuzhuo.wang/SSD/data/crowd_human/Images/283554,6b7b000114ca97b.jpg,161,415,434,1279,person
/data/yuzhuo.wang/SSD/data/crowd_human/Images/283554,6b7b000114ca97b.jpg,156,337,599,1280,person
/data/yuzhuo.wang/SSD/data/crowd_human/Images/283554,6b7b000114ca97b.jpg,353,160,959,1279,person
/data/yuzhuo.wang/SSD/data/crowd_human/Images/283992,1000a9911d4c.jpg,18,141,234,467,person
/data/yuzhuo.wang/SSD/data/crowd_human/Images/283992,1000a9911d4c.jpg,540,203,605,354,person
/data/yuzhuo.wang/SSD/data/crowd_human/Images/283992,1000a9911d4c.jpg,586,210,629,327,person
/data/yuzhuo.wang/SSD/data/crowd_human/Images/283992,1000a9911d4c.jpg,588,217,613,313,person
/data/yuzhuo.wang/SSD/data/crowd_human/Images/283992,1000a9911d4c.jpg,703,220,734,288,person
/data/yuzhuo.wang/SSD/data/crowd_human/Images/283992,1000a9911d4c.jpg,728,219,751,295,person
/data/yuzhuo.wang/SSD/data/crowd_human/Images/283992,1000a9911d4c.jpg,742,189,800,337,person
/data/yuzhuo.wang/SSD/data/crowd_human/Images/283992,1000a9911d4c.jpg,798,209,845,342,person
/data/yuzhuo.wang/SSD/data/crowd_human/Images/273278,d483a000cef52e85.jpg,359,138,504,439,person
/data/yuzhuo.wang/SSD/data/crowd_human/Images/273278,d483a000cef52e85.jpg,350,172,448,431,person
/data/yuzhuo.wang/SSD/data/crowd_human/Images/273278,d483a000cef52e85.jpg,269,179,358,428,person
/data/yuzhuo.wang/SSD/data/crowd_human/Images/273278,d483a000cef52e85.jpg,237,214,335,432,person
/data/yuzhuo.wang/SSD/data/crowd_human/Images/273278,d483a000cef52e85.jpg,174,213,249,405,person
/data/yuzhuo.wang/SSD/data/crowd_human/Images/273278,d5aa8000edd47634.jpg,0,179,193,719,person
/data/yuzhuo.wang/SSD/data/crowd_human/Images/273278,d5aa8000edd47634.jpg,133,205,293,719,person
/data/yuzhuo.wang/SSD/data/crowd_human/Images/273278,d5aa8000edd47634.jpg,265,243,409,687,person
/data/yuzhuo.wang/SSD/data/crowd_human/Images/273278,d5aa8000edd47634.jpg,382,211,502,684,person
/data/yuzhuo.wang/SSD/data/crowd_human/Images/273278,d5aa8000edd47634.jpg,455,175,645,715,person
/data/yuzhuo.wang/SSD/data/crowd_human/Images/273278,d5aa8000edd47634.jpg,606,156,794,719,person
/data/yuzhuo.wang/SSD/data/crowd_human/Images/282555,b48e600092b3280f.jpg,1771,0,2047,1036,person
/data/yuzhuo.wang/SSD/data/crowd_human/Images/282555,b48e600092b3280f.jpg,958,172,1718,1183,person
/data/yuzhuo.wang/SSD/data/crowd_human/Images/282555,b48e600092b3280f.jpg,1006,0,1698,937,person
/data/yuzhuo.wang/SSD/data/crowd_human/Images/282555,b48e600092b3280f.jpg,1036,70,1137,277,person
/data/yuzhuo.wang/SSD/data/crowd_human/Images/282555,b48e600092b3280f.jpg,1706,169,1815,376,person
/data/yuzhuo.wang/SSD/data/crowd_human/Images/282555,b48e600092b3280f.jpg,15,340,605,1191,person
/data/yuzhuo.wang/SSD/data/crowd_human/Images/282555,b48e600092b3280f.jpg,1,231,237,1053,person
/data/yuzhuo.wang/SSD/data/crowd_human/Images/273278,d78630008cafb808.jpg,299,519,664,1064,person
